Info: The following parameters belong to the application app_flexCHP.py,,,,,,,,
,,,,,,,,
id,var_name,value,unit,reference,Comment,tag_1,tag_2,component
1,var_costs_excess_bel,0,EUR/MWh,Peter1234,,,costs,bus
2,var_costs_excess_bth,0,EUR/MWh,,,,costs,bus
3,var_costs_shortage_bel,1000000,EUR/MWh,,,,costs,bus
4,var_costs_shortage_bth,1000000,EUR/MWh,,,,costs,bus
5,wacc_chp,0.07,1,,,,,chp
6,wacc_storage_th,0.07,1,,,,,
7,wacc_storage_el,0.07,1,,,,,
8,wacc_boiler,0.07,1,,,,,
9,wacc_pth,0.07,1,,,,,
10,nom_val_gas,100000,MW,,,,,source
11,sum_max_gas,100000000,MWh,,,,,source
12,var_costs_gas,22,MWh,,,,,source
13,nom_val_neg_residual,150,MWh,,,,,
14,nom_val_demand_el,1200,MWh,,,,,
15,nom_val_demand_th,1000,MWh,,,,,
16,var_costs_chp_out_el,1,EUR/MWh,,,,,chp
17,var_costs_chp_out_th,1,EUR/MWh,,,,,chp
18,conversion_factor_chp_bel,0.3,1,,,,,chp
19,conversion_factor_chp_bth,0.5,1,,,,,chp
20,nom_val_out_boiler,650,,,,,,boiler
21,var_costs_boiler,1,EUR/MWh,,,,,boiler
22,conversion_factor_boiler,0.9,1,,,,,
23,conv_factor_full_cond_chp,0.6,1,,,,,chp
24,nom_val_p2h_out_bth,150,MW,,,,,p2h
25,var_costs_p2h_out_bth,0,EUR/MWh,,,,costs,p2h
26,conversion_factor_p2h,0.99,1,,,,,
27,nom_capacity_storage_th,500,MWh,,,,capacity,storage_th
28,capacity_loss_storage_th,0.001,1,,,,,storage_th
29,inflow_conv_factor_storage_th,1,1,,,,,storage_th
30,outflow_conv_factor_storage_th,0.99,1,,,,,storage_th
31,nom_capacity_storage_el,50,MWh,,,,capacity,storage_el
32,capacity_loss_storage_el,0.01,1,,,,,storage_el
33,inflow_conv_factor_storage_el,1,1,,,,,storage_el
34,outflow_conv_factor_storage_el,0.6,1,,,,,storage_el
35,nom_val_chp_out_el,1200,MW,,,,capacity,chp
36,nom_val_chp_out_th,600,MW,,,,capacity,chp
37,init_capacity_storage_th,0,MWh,,,,,storage_th
38,init_capacity_storage_el,0,MWh,,,,,storage_el
39,var_costs_input_bth_storage_th,0,EUR/MWh,,,,,storage_th
40,var_costs_output_bth_storage_th,0,EUR/MWh,,,,,storage_th
41,nom_val_input_bth_storage_th,500,MW,,,,,storage_th
42,nom_val_output_bth_storage_th,500,MW,,,,,storage_th
43,var_costs_input_bel_storage_el,0,EUR/MWh,,,,,storage_el
44,var_costs_output_bel_storage_el,0,EUR/MWh,,,,,storage_el
45,nom_val_input_bel_storage_el,50,MW,,,,,storage_el
46,nom_val_output_bel_storage_el,50,MW,,,,,storage_el
