id;scenario;uncertainty;component;var_name;var_value;var_unit;source;comment
1;scenario_basic;reference;chp;efficiency_el;0.34;;DanishEnergyAgency2018; Gas turbine, simple cycle (small and medium), back pressure
2;scenario_basic;reference;chp;efficiency_th;0.479;;DanishEnergyAgency2018;
3;scenario_basic;reference;chp;lifetime;25;a;DanishEnergyAgency2018;
4;scenario_basic;reference;chp;overnight_cost;750000;Eur/MW_el;DanishEnergyAgency2018;
5;scenario_basic;reference;chp;lifetime;25;a;DanishEnergyAgency2018;
6;scenario_basic;reference;chp;fom;2.67;%of overnight cost/a;DanishEnergyAgency2018;
7;scenario_basic;reference;chp;vom;5.5;Eur/MWh_el;DanishEnergyAgency2018;
8;scenario_basic;reference;chp;tax_nc_levys;1.9;Eur/MWh;E.DISAG2016a;without price of natural gas
9;scenario_basic;reference;chp;capacity_installed;400;MW_el;;Dummy
10;scenario_basic;reference;chp;efficiency_el_full_cond;0.34;;;Dummy
11;scenario_basic;reference;district_heating_network;costs_heat_distribution_var;23;Eur/MWh;Blesl2002;
12;scenario_basic;reference;district_heating_network;fom;18;Eur/m;Totschnig2017a  ;S. 103
13;scenario_basic;reference;district_heating_network;costs_heat_distribution_cap;;;;
14;scenario_basic;reference;gas_boiler_central;efficiency;0.98;;Henning2014a;
15;scenario_basic;reference;gas_boiler_central;lifetime;25;a;DanishEnergyAgency2018;
16;scenario_basic;reference;gas_boiler_central;overnight_cost;60000;Eur/MW_th;DanishEnergyAgency2018;capacities: 0.5 - 10 MW_th
17;scenario_basic;reference;gas_boiler_central;lifetime;25;a;DanishEnergyAgency2018;capacities: 0.5 - 10 MW_th
18;scenario_basic;reference;gas_boiler_central;fom;3.33;%of overnight cost/a;DanishEnergyAgency2018;capacities: 0.5 - 10 MW_th
19;scenario_basic;reference;gas_boiler_central;vom;1.1;Eur/MWh;DanishEnergyAgency2018;capacities: 0.5 - 10 MW_th
20;scenario_basic;reference;gas_boiler_central;tax_nc_levys;7.4;Eur/MWh;E.DISAG2016a;without price of natural gas
21;scenario_basic;reference;gas_boiler_decentral;efficiency;1.03;;DanishEnergyAgency2018;
22;scenario_basic;reference;gas_boiler_decentral;lifetime;25;a;DanishEnergyAgency2018;
23;scenario_basic;reference;pth_central;capacity_installed;;;;
24;scenario_basic;reference;pth_central;efficiency_thermal;;;;
25;scenario_basic;reference;pth_heat_pump_decentral;efficiency;3.5;;DanishEnergyAgency2018; Electrical compression heat pumps - ambient heat source,  no dev. in supply temp. (4 MW)
26;scenario_basic;reference;pth_heat_pump_decentral;lifetime;25;a;Brown2018;
27;scenario_basic;reference;pth_heat_pump_decentral;overnight_cost;700000;Eur/MW_th;DanishEnergyAgency2018;
28;scenario_basic;reference;pth_heat_pump_decentral;fom;0.286;%of overnight cost/a;DanishEnergyAgency2018;
29;scenario_basic;reference;pth_heat_pump_decentral;vom;2;Eur/MWh;DanishEnergyAgency2018;
30;scenario_basic;reference;pth_heat_pump_decentral;tax_nc_levys;134.64;Eur/MWh;E.DISAG2016;only taxes, network charges, levys, without price of the energy carrier
31;scenario_basic;reference;pth_heat_pump_decentral;capacity_installed;;MW_th;;
32;scenario_basic;reference;pth_resistive_central;efficiency;0.98;;DanishEnergyAgency2018;
33;scenario_basic;reference;pth_resistive_central;lifetime;20;a;DanishEnergyAgency2018;
34;scenario_basic;reference;pth_resistive_central;overnight_cost;70000;Eur/MW_th;DanishEnergyAgency2018;> 10 MW_th
35;scenario_basic;reference;pth_resistive_central;lifetime;20;a;DanishEnergyAgency2018;> 10 MW_th
36;scenario_basic;reference;pth_resistive_central;fom;1.57;%of overnight cost/a;DanishEnergyAgency2018;> 10 MW_th
37;scenario_basic;reference;pth_resistive_central;vom;0.8;Eur/MWh;DanishEnergyAgency2018;> 10 MW_th
