;name;market_price_gas;charges_tax_levies_gas;market_price_el;charges_tax_levies_el;standard_dev_el;chp_surcharge;overnight_cost_heat_pump;cop_heat_pump;debug
0;SQ;30;5;34;120;18;0;700000;2.7;False
1;SQ_gastaxes=30;30;30;34;120;18;0;700000;2.7;False
2;SQ_noHP_gastaxlevies=30;30;30;34;120;18;0;7000000000;2.7;False
3;FF;30;30;34;93;18;0;700000;2.7;False
4;SQ_lowerHPinvest;30;5;34;120;18;0;350000;2.7;False
5;FF_COP=2;30;30;34;93;18;0;700000;2;False
6;FF_elprice=50;30;30;50;93;18;0;700000;2.7;False
7;FF_elstddev=25;30;30;34;93;25;0;700000;2.7;False
8;FF_elprice=50_elstddev=25;30;30;50;93;25;0;700000;2.7;False
9;SQ_elstddev=25;30;5;34;120;25;0;700000;2.7;False
10;SQ_lowerHPinvest_COP=3;30;5;34;120;18;0;350000;3;False
11;SQ_lowerHPinvest_COP=3.5;30;5;34;120;18;0;350000;3.5;False
12;SQ_lowerHPinvest_COP=4;30;5;34;120;18;0;350000;4;False
13;SQ_lowerHPinvest_COP=5;30;5;34;120;18;0;350000;5;False
14;scenario_field_0;30;5;34;120;18;0;350000;2.7;False
15;scenario_field_1;30;10;34;114.6;18;0;350000;2.7;False
16;scenario_field_2;30;15;34;109.2;18;0;350000;2.7;False
17;scenario_field_3;30;20;34;103.8;18;0;350000;2.7;False
18;scenario_field_4;30;25;34;98.4;18;0;350000;2.7;False
19;scenario_field_5;30;30;34;93;18;0;350000;2.7;False
20;scenario_field_6;30;5;34;120;22.5;0;350000;2.7;False
21;scenario_field_7;30;10;34;114.6;22.5;0;350000;2.7;False
22;scenario_field_8;30;15;34;109.2;22.5;0;350000;2.7;False
23;scenario_field_9;30;20;34;103.8;22.5;0;350000;2.7;False
24;scenario_field_10;30;25;34;98.4;22.5;0;350000;2.7;False
25;scenario_field_11;30;30;34;93;22.5;0;350000;2.7;False
26;scenario_field_12;30;5;34;120;27;0;350000;2.7;False
27;scenario_field_13;30;10;34;114.6;27;0;350000;2.7;False
28;scenario_field_14;30;15;34;109.2;27;0;350000;2.7;False
29;scenario_field_15;30;20;34;103.8;27;0;350000;2.7;False
30;scenario_field_16;30;25;34;98.4;27;0;350000;2.7;False
31;scenario_field_17;30;30;34;93;27;0;350000;2.7;False
